STT,Đánh giá
1,"Buying a used phone can be an anxiety filled experience - you read the reviews and hope that you're one of the happy customers and are lucky enough to get an ""as advertised product."" You have to take a chance. I did and the phone arrived quickly and with an unexpected charger and cord - generic box and bubble wrap. The phone was listed as in ""excellent"" and it truly was without a mark, dent or scratch.
Several hours of backing up, transferring data and sim - now the phone is truly working and picking up where the prior phone handed off to the latest one.
The challenge of course is you have a new phone - and its always a bit steep for the first few days trying to learn the new hardware/software and audit that the used phone does not have some hidden defect that is going to cost you more time and money. So, I'm happy for a few days and then one evening I discover that the bottom speaker (the top earpiece speaker is actually called the receiver) was not working well. scratchy and little to no volume - this had missed my attention entirely. A panic search online revealed Apple 12 speaker problems and them being repaired by Apple - crap!
I went to a repair shop the next day, they ran Apple diagnostics on the phone and sure enough - speaker needed to be replaced - $120 for generic parts, $180 for Apple parts - they're not familiar with the Apple repair program (found out later that was for receiver speakers) - so this is half of the cost of the phone.
No I'm committed to the new phone, don't want to lose it, but don't want to pay this either.
Reach out to seller and explain the issue - they can even confirm the Apple diagnostic through the serial number - They offer $25 refund if I'll keep the phone. - So this tells me that they don't run diagnostics on the phones themselves - or do and hope that people will simply miss small items or accept them once they have sweat equity in the phone - or, it's all honest and by buying/selling a used phone both parties are taking a gamble. I chose to believe the latter. And accepted their offer.
And here's the takeaway - the speaker now works - once in a while I might think I hear some scratchy, but unsure due to surrounding conditions. So for now, it's good, we'll see how long it lasts - but if I have to get it repaired - I took a chance -
I say take a chance - you might get a perfect phone and save a lot in the meantime - I typically stay a few models behind the curve and benefit from software updates and people abandoning perfectly working phones for the latest models - AT&T typically had new old stock and I took advantage of that, but I have a grandfathered plan that they no longer make good money on, so I'm no longer eligible for that.
Hope your experience is a good one - all the best, Don"
2,"On my journey of ordering a refurbished iPhone and it can be a journey this was an excellent purchase. Screen and display are flawless, phone is in excellent condition and all features work properly. Charging port of the phone works properly, speakers are loud and clear, buttons are solid, haptics crisp. Battery Health is 88% and stable. Got same day delivery and up and running quickly. Purchased refurb level was “excellent”. Should have been my first stop..

Now I did mention a journey so let me add a quick tip if this is your first time looking for a refurbed phone.

I purchased another phone days before from a different seller based on amount of sales and ratings.
Refurb level was “Premium” waited a few days and once received phone came with a faulty charging port, display was showing in settings as “unknown” or issue with hardware. So in the return box this goes.

Many of these refurbished phones are due to cracked screens. Some companies will use non-genuine apple products during the repair. So be prepared this may be an issue when you receive your phone from some refurb sellers. I personally will not accept it and if I’m paying a premium dollar amount for a 3 or 4 year old phone I expect it to be repaired with genuine iPhone parts. Not to mention I don’t appreciate caution notifications every time I go into my settings.

Again the phone I received from this seller was flawless with no issues and fully wiped. The other thing is when you receive your phone it should be completely wiped and ready for set up. If it is not! Do NOT connect it to any of your devices, specifically computers or your wifi before the factory reset."
3,"I got the iPhone 12 Pro with Amazon’s “renewed - premium” option. The brand was “HybridIT”. Just got the phone today, and it’s working great and as expected so far, but do I have a few concerns.

My biggest concern is with the packaging. The phone was simply placed inside the cardboard insert with no foam sleeve or protection (as shown in 1st picture). You can see there’s about a 1/2 inch of wiggle room with nothing holding it in place, meaning it was very likely sliding around the cardboard during transit. Luckily I didn’t notice any major damage or scratches.

Another smaller concern is that the phone was visibly not thoroughly cleaned. The smudges and marks easily came off, but you can see some grime along the side edges (refer to pictures). I was hoping for a higher standard of cleanliness with Amazon’s highest option.

Otherwise, the phone does work great and feels almost brand new. I’ve tested all the features with no problems and was pleasantly surprised to see the battery health was at 94%, which is really good considering phones generally degrade to around 90-80% (depending on use) after a year or two.

Keep in mind, I’m not sure if the packaging issue is a problem with Amazon renewed or HybridIT. However, all in all the phone itself is in good condition.

Hope this helps!"
4,"This is the third refurbished item I’ve ordered from Amazon and all of them have been terrific, basically brand new. This battery did come in at only 80% capacity, which is the only drawback."
5,"I wanted to wait a couple months before writing a review so here it is

You get what you pay for, for sure. Phone came with an 80% battery capacity… a little disappointing but it is what it is.

Then I noticed it overheats fast. Phone was still operational of course, but it was kind of just annoying.

Then finally, my imessage started cutting in and out. This was what did it for me lol. My imessage would just stop working completely for hours on end and i finally was like oooookay time for another phone.

Overall however, phone came in beautiful condition, no dents no scratches or dings and it worked great aside from my imessage going in and out. There might be just some things needing fixing upon purchase. Hope this helps!"
6,Had this phone for a year and works completely fine. Got blue went to my phone servicer and got it turned on immediately. Its legit and yes its a iphone💚
7,"I can’t tell the difference between the phone I received and one that’s BRAND NEW.
At first, I was concerned that I might have problems downgrading from an iPhone 14 Pro Max to the IPhone 12 Pro. But my online backup went through without any problem. Except for one small inconvenience. At first, my Echo ear buds weren’t recognized by the Bluetooth on the new phone. But after a few days they magically appeared in the Bluetooth devices. However, the Alexa feature with the earbuds hasn’t worked. I’ve attempted a number of times to reset the earbuds using the Alexa app, but I keep getting an error (“Internal Error”) when I attempt to sign in to my Amazon account. Looks like the only way I’ll get through it is to call Amazon Support, but I don’t relish the idea of being on hold forever while waiting for a REAL PERSON to pickup my call.
It’s frustrating, but overall I’m very satisfied with the purchase, and would, in hindsight, buy it again."
8,"Fast shipping. Phone looks brand new, easy to set up, fully unlocked. No battery issues. I've had the phone only a few days but so far very satisfied and everything was as advertised."
9,"I did receive my item very quickly,I did have issues with it when I first bought it. I had difficulty hearing when I received or tried to call someone using the phone. I did . contact customer support. They sent a link for me to contact Apple as they were the manufacture. Apple did set me up with an appointment to have it checked out. They did fix the sound issue but also told me I had faulty microphone.. so evidently everything is not exactly checked out to make it like new when you buy a renewed phone. This was the second 12 Pro that I bought through Amazon Amazon. The first one I sent right back.. On that note, I do like the phone. I think I will try out my phone for a bit to see if I have any more issues before I see if I need to send it back , it does have a warranty . I did buy an OtterBox case for it which I like really well.. I hope this helps anyone that is looking for a phone."
10,"My 12 pro broke, and I’m too broke to buy another $1000 phone. Phone is in mint condition, and so far everything seems to be working. It loses one star as I seemed to pay on the higher end, only one day later it was $15 cheaper. Battery health was at 84% which is acceptable as my broken phones battery health was exactly the same. I will update and take Amazon on their 90 day warranty if anything negative bubbles up. Don’t goof around with 3rd party sellers with this kind of stuff."
